team,match,alliance,auto_line,auto_low,auto_high,tele_low,tele_high,wheel_spin,wheel_color,climbed,climb_assists,climb_was_assisted,park,balanced
3024,1,red,1,0,0,0,0,0,0,1,0,0,0,0
5468,1,red,1,0,3,9,0,0,0,0,0,0,0,0
6465,1,red,1,0,6,0,0,0,0,0,0,0,0,0
5085,1,blue,1,1,0,6,0,0,0,1,0,0,0,0
3711,1,blue,1,0,3,8,23,0,0,0,0,0,0,0
5450,1,blue,1,0,3,1,21,0,0,0,0,0,0,0
2471,2,red,1,3,0,1,12,0,0,0,0,0,0,0
7448,2,red,1,0,3,7,24,0,0,0,0,0,0,0
1571,2,red,1,0,3,4,7,0,0,0,0,0,0,0
6696,2,blue,1,0,3,0,12,1,0,1,0,0,0,0
1540,2,blue,1,0,3,0,12,0,0,1,0,0,0,0
2898,2,blue,1,0,6,5,30,0,1,0,0,0,0,0
2811,3,red,1,0,2,1,2,0,0,1,0,0,0,0
2550,3,red,1,0,3,7,27,0,0,1,0,0,0,0
6343,3,red,1,0,6,0,11,0,0,1,0,0,0,0
6845,3,blue,1,0,3,9,9,0,0,1,0,0,0,0
847,3,blue,1,0,3,0,20,0,0,1,0,0,0,0
1425,3,blue,1,0,6,0,31,0,0,1,0,0,0,0
3674,4,red,1,1,0,12,0,0,0,1,0,0,0,0
360,4,red,1,2,0,2,21,0,0,0,0,0,0,0
3636,4,red,1,0,3,14,15,0,0,0,0,0,0,0
753,4,blue,1,1,0,16,19,0,0,1,0,0,0,1
2915,4,blue,1,0,0,5,16,0,0,1,0,0,0,1
5803,4,blue,1,0,3,2,20,0,0,0,0,0,0,1
1510,5,red,1,3,0,19,11,0,0,1,0,0,0,0
5977,5,red,1,0,3,3,16,0,0,0,0,0,0,0
2521,5,red,1,0,6,6,9,0,0,0,0,0,0,0
3223,5,blue,1,2,0,6,20,0,0,1,0,0,0,0
4127,5,blue,1,0,3,14,6,0,0,1,0,0,0,0
4488,5,blue,1,0,2,1,13,0,0,0,0,0,0,0
3812,6,red,1,0,3,5,13,0,0,1,0,0,0,1
2411,6,red,1,0,6,20,10,0,0,1,0,0,0,1
6831,6,red,1,0,6,1,6,0,0,1,0,0,0,1
1432,6,blue,1,0,3,1,19,0,0,1,0,0,0,0
2990,6,blue,1,0,3,10,7,0,0,0,0,0,0,0
5295,6,blue,1,0,6,2,13,1,0,0,0,0,0,0
2471,7,red,1,3,0,3,1,0,0,1,0,0,0,0
3674,7,red,1,0,3,9,16,0,0,1,0,0,0,0
2915,7,red,1,0,6,5,10,0,0,1,0,0,0,0
6465,7,blue,1,0,3,13,4,0,0,1,0,0,0,0
1571,7,blue,1,0,3,0,19,0,0,0,0,0,0,0
5450,7,blue,1,0,6,7,4,0,0,0,0,0,0,0
360,8,red,1,1,0,8,15,0,0,0,0,0,0,0
5977,8,red,1,2,0,1,11,0,0,0,0,0,0,0
2811,8,red,1,0,3,0,18,0,0,0,0,0,0,0
1540,8,blue,1,1,0,12,13,0,0,1,0,0,0,1
753,8,blue,1,0,2,5,11,0,0,1,0,0,0,1
1425,8,blue,1,0,6,0,17,1,0,0,0,0,0,1
2411,9,red,1,0,3,8,3,0,0,0,0,0,0,0
2898,9,red,1,0,3,10,4,0,0,0,0,0,0,0
2990,9,red,1,0,6,1,0,0,0,0,0,0,0,0
3223,9,blue,1,2,0,5,5,0,0,1,0,0,0,0
5295,9,blue,1,2,0,15,15,0,0,0,0,0,0,0
6845,9,blue,1,0,2,9,8,0,0,0,0,0,0,0
7448,10,red,1,0,0,5,26,0,0,1,0,0,0,1
4488,10,red,1,0,2,1,16,0,0,1,0,0,0,1
6696,10,red,1,0,3,2,20,0,0,0,0,0,0,1
2550,10,blue,1,0,3,0,17,0,0,1,0,0,0,0
2521,10,blue,1,0,3,1,10,0,0,1,0,0,0,0
1432,10,blue,1,0,6,0,18,0,0,1,0,0,0,0
3024,11,red,1,2,0,16,16,1,0,0,0,0,0,0
4127,11,red,1,0,3,6,16,0,0,0,0,0,0,0
1510,11,red,1,0,3,4,11,0,0,0,0,0,0,0
5803,11,blue,1,0,3,3,16,0,0,1,0,0,0,1
5468,11,blue,1,0,3,1,35,0,0,1,0,0,0,1
6343,11,blue,1,0,6,4,14,0,0,0,0,0,0,1
5085,12,red,1,0,0,13,11,0,0,0,0,0,0,0
847,12,red,1,0,2,3,6,0,0,0,0,0,0,0
6831,12,red,1,0,3,6,37,0,0,0,0,0,0,0
3636,12,blue,1,0,3,1,29,0,0,1,0,0,0,1
3812,12,blue,1,0,3,4,21,0,0,1,0,0,0,1
3711,12,blue,1,0,6,4,0,0,0,1,0,0,0,1
360,13,red,1,0,3,2,15,0,0,0,0,0,0,0
5450,13,red,1,0,3,15,25,0,0,0,0,0,0,0
